universityId,universityGroupId,name,campusName,emblem,status,fileExists
"jejuinternationaluniversity-본교","jejuinternationaluniversity-본교","제주국제대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"haniluniv-presb-theol-sem-본교","haniluniv-presb-theol-sem-본교","한일장신대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"hanyang-university-erica-campus-분교","hanyang-university-erica-campus-분교","한양대학교(ERICA) 분교","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"hanshin-university-본교","hanshin-university-본교","한신대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"hansei-university-본교","hansei-university-본교","한세대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"hansung-university-본교","hansung-university-본교","한성대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"hanseo-university-본교","hanseo-university-본교","한서대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"hallym-university-본교","hallym-university-본교","한림대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"halla-university-본교","halla-university-본교","한라대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"handong-global-university-본교","handong-global-university-본교","한동대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"hannam-university-본교","hannam-university-본교","한남대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"korea-baptist-theological-university-seminary-본교","korea-baptist-theological-university-seminary-본교","한국침례신학대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
